Item,Total Count,Checkpoint,Checked Baggage,Other,Motor Vehicle,Bus Station
Tools & Tool Boxes - Emergency (shipped in a vehicle),3,0,3,0,0,0
Mapping,3,0,3,0,0,0
Outdoor Structures (fencing,3,0,3,0,0,0
TV Trays,3,0,3,0,0,0
Garden Equipment - Power Lawnmowers,2,0,2,0,0,0
Ladders,2,0,2,0,0,0
Typewriters,2,0,2,0,0,0
& harps) ,2,0,2,0,0,0
Microscopes & Telescopes - Inexpensive $100 or less,2,1,1,0,0,0
Bathroom Scales,2,0,2,0,0,0
Stenotype Machines,1,1,0,0,0,0
Venetian Blinds,1,0,1,0,0,0
swiss army,1,0,1,0,0,0
Taxidermy Items (mounted deer heads,1,1,0,0,0,0
Personal Documents,1,0,1,0,0,0
Rugs - over $500 - $999,1,0,1,0,0,0
Hampers - Wicker or Plastic,1,0,1,0,0,0
fish,1,1,0,0,0,0
Drapery and Curtain Rods,1,0,1,0,0,0
Drapes,1,0,1,0,0,0
Electric Blankets,1,0,1,0,0,0
Knives (pocket,1,0,1,0,0,0
leatherman,1,0,1,0,0,0
