Item_split,Approved in Full,Deny,In pursuit,Non-Pursuable,Non-TSA,Settle
Microscopes & Telescopes - Inexpensive $100 or less,0,1,0,0,0,1
Typewriters,0,2,0,0,0,0
Ladders,0,2,0,0,0,0
swiss army,0,0,0,1,0,0
Taxidermy Items (mounted deer heads,1,0,0,0,0,0
Drapery and Curtain Rods,0,1,0,0,0,0
Drapes,0,1,0,0,0,0
Electric Blankets,0,1,0,0,0,0
leatherman,0,0,0,1,0,0
Knives (pocket,0,0,0,1,0,0
Venetian Blinds,0,1,0,0,0,0
fish,1,0,0,0,0,0
Personal Documents,0,0,0,1,0,0
Rugs - over $500 - $999,0,1,0,0,0,0
Stenotype Machines,0,0,0,0,0,1
Hampers - Wicker or Plastic,0,1,0,0,0,0
